date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:42:43	54756/54756	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:42%20GMT	https://www.mapleparking.co.uk/tag/coronovirus-car-safety/	F:/Temp/qwe/www.mapleparking.co.uk/tag/coronovirus-car-safety/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:43	54738/54738	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:43%20GMT	https://www.mapleparking.co.uk/tag/cheap-airport-parking/	F:/Temp/qwe/www.mapleparking.co.uk/tag/cheap-airport-parking/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:45	2828/2828	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:42:44%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fcancellations%2F	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embed3bf2.json	(from https://www.mapleparking.co.uk/cancellations/)
05:42:45	54692/54692	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:45%20GMT	https://www.mapleparking.co.uk/tag/covid-safe-holiday/	F:/Temp/qwe/www.mapleparking.co.uk/tag/covid-safe-holiday/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:46	54676/54676	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:46%20GMT	https://www.mapleparking.co.uk/tag/covid-safe-skiing/	F:/Temp/qwe/www.mapleparking.co.uk/tag/covid-safe-skiing/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:47	54644/54644	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:46%20GMT	https://www.mapleparking.co.uk/tag/covid-19-safety/	F:/Temp/qwe/www.mapleparking.co.uk/tag/covid-19-safety/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:48	2906/2906	---MC-	200	added ('OK')	text/xml	date:Sun,%2004%20Jun%202023%2000:42:47%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fcancellations%2F&format=xml	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embed2833	(from https://www.mapleparking.co.uk/cancellations/)
05:42:51	54770/54770	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:48%20GMT	https://www.mapleparking.co.uk/tag/gatwick-airport-parking/	F:/Temp/qwe/www.mapleparking.co.uk/tag/gatwick-airport-parking/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:52	55042/55042	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:49%20GMT	https://www.mapleparking.co.uk/tag/gatwick-airport-approved-operator-scheme/	F:/Temp/qwe/www.mapleparking.co.uk/tag/gatwick-airport-approved-operator-scheme/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:52	54754/54754	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:49%20GMT	https://www.mapleparking.co.uk/tag/gatwick-meet-and-greet/	F:/Temp/qwe/www.mapleparking.co.uk/tag/gatwick-meet-and-greet/index.html	(from https://www.mapleparking.co.uk/latest-news/)
05:42:52	54644/54644	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:42:50%20GMT	https://www.mapleparking.co.uk/tag/gatwick-parking/	F:/Temp/qwe/www.mapleparking.co.uk/tag/gatwick-parking/index.html	(from https://www.mapleparking.co.uk/latest-news/)
